message,category,token
"Помогите начальник Льговского рэс не реагирует на жалобы, а мы как малейший ветер сидим без света, а именно в деревне большие угоны улица старая слобода. Пожалуйста помогите, пускай вычистит и фотоотчет сделает",3,помочь начальник льговский рэс реагировать жалоба малый ветер сидеть свет именно деревня больший угоны улица старый слобода пожалуйста помочь пускай вычистить фотоотчет сделать
"<p>По фасаду дома по адресу ул. Урицкого 22 проходит труба газовой магистрали. Также эта труба проходит рядом с деревом, которое при каждом порыве ветра цепляет трубку, заставляя ее двигаться по креплениям. Мы боимся, что при особенно сильном порыве, труба может просто сломаться. А это газ, существует опасность взрыва. Мы обращались по поводу этой проблемы в газовую службу и в МЧС, но они отказываются спиливать это дерево, говорят, что если сейчас газом не пахнет, они ничего поделать не могут. Но если начнет пахнуть газом, будет уже поздно что-то предпринимать. Прошу спилить дерево, которое создаёт опасность для целостности газовой трубы.</p>",3,фасад дом адрес улица урицкий проходить труба газовый магистраль также труба проходить рядом дерево который каждый порыв ветер цеплять трубка заставлять двигаться крепление бояться особенно сильный порыв труба мочь просто сломаться газ существовать опасность взрыв обращаться повод проблема газовый служба мчс отказываться спиливать дерево говорить газ пахнуть ничто поделать мочь начать пахнуть газ поздно предпринимать просить спилить дерево который создавать опасность целостность газовый труба
Агресивные собаки. На радуге там стая из подросших щенков и зврослых собак. Они на Ребенка  бросилась.  Соьаки бросаются пытаются за ноги  укусить. Разговор с охранниками не дал результатов,1,агресивный собака радуга стая подрасти щенок зврослый собака ребенок броситься соьаки бросаться пытаться нога укусить разговор охранник дать результат
"<p>На пересечении &nbsp;улиц Сосновская и Береговая &nbsp;завалено все песком и гравием на санитарной зоне участка который относится к <span style=`background-color:rgb(255,255,255);color:rgb(51,51,51);`>МУП КГТПО &nbsp; ( центральный рынок) невозможно не пройти не проехать с коляской</span>&nbsp;</p>",3,пересечение улица сосновский береговой завалить весь песок гравий санитарный зона участок который относиться муп кгтпо центральный рынок невозможный пройти проехать коляска
"<p style=`text-align:justify;`><span style=`background-color:white;`>Здравствуйте! Рядом с&nbsp;домом 1 «А» по&nbsp;улице&nbsp;Светлая, вне придомовой территории, растет клен. Это довольно старое и хрупкое дерево. В&nbsp;случае непогоды возможно обламывание ветвей (как уже неоднократно случалось), что с большой вероятностью приведет к&nbsp;обрыву находящихся рядом электрических проводов, в&nbsp;случае повреждения которых без света останется вся улица. Кроме того, возникает угроза жизни и&nbsp;здоровью проживающих рядом людей (в том числе детей), а&nbsp;также их автомобилям и другому имуществу. Прошу провести спил дерева или его санитарную обрезку.</span></p>",3,рядом дом улица светлый вне придомовый территория расти клен довольно старый хрупкий дерево случай непогода возможный обламывание ветвь неоднократно случаться большой вероятность привести обрыв находиться ряд электрический провод случай повреждение который свет остаться весь улица кроме возникать угроза жизнь здоровье проживать рядом человек число ребенок также автомобиль имущество просить провести спил дерево санитарный обрезка
"<p>Добрый день! Управляющая Компания “Аврора +” не убирает дворовую территорию по адресу г. Курск, ул. Союзная д. 71Б. &nbsp;Я неоднократно звонил в управляющую компанию, но результата нет. &nbsp;После сегодняшнего снегопада ситуация также не изменилась. Прошу принять меры и обязать УК “Аврора +” &nbsp;исполнять свои обязательства, которые они в 2021 году взяли на себя, перед жителями многоквартирного дома. &nbsp;&nbsp;</p>",3,управлять компания аврора убирать дворовый территория адрес курск улица союзный неоднократно звонить управлять компания результат сегодняшний снегопад ситуация также измениться просить принять мера обязать ук аврора исполнять обязательство который год взять житель многоквартирный дом
"Добрый день, полностью отсутствует наружнее освежением у дома по адресу проспект Дружбы д.19Д, нет ни одного фонарного столба, предподъездная территория не имеет никакого освещения. 
Необходимо установить осветительные приборы которые могут обеспечить нормы освещённости!",3,полностью отсутствовать наружнее освежение дом адрес проспект дружба фонарный столб предподъездный территория иметь никакой освещение необходимый установить осветительный прибор который мочь обеспечить норма освещенность
"Едкий и вредный для здоровья запах от карьеров завода `Сырная долина`.  - чистят трубы и технические ванны `каустиковой содой`, потом эту жидкость сливают в грунт без фильтрации, откуда все попадает в грунтовые воды; - за последние годы было два больших пожара в карьерах т.к. туда сливается жир, который хорошо горит. Из-за пожара был поврежден газопровод. При наличии ветра, могла сгореть деревня; - едкий запах разносится до 10 км в разные стороны, в зависимости от направления ветра; - нечистоты зимой попадали в лес, а пару лет назад в пруд д. Калиновка; - активиста который боролся с данным явлением (Дмитрий Кутепов), запугивали охранники завода, а люди из правоохранительных органов грозили тюремным сроком; - с 2008 года жители деревни жалуются, но мер никаких принято не было; - неоднократно в данные карьеры падали дети и в т.ч. Взрослые. Без летальных исходов; - от едкого запаха развиваются головные боли и приступы астмы.  * В один карьер целенаправлено набирают чистую воду. Этот карьер находится вблизи дороги и все проверки берут пробы из него. Сделали его специально для этого.  На данный момент сливают отходы в ночное время суток, но бывает и днём. Всегда в разное время. При сливе нарушается жировая пленка на поверхности и все затягивает едким запахом.  По нормам и законодательству Российской Федерации, данное производство не должно быть размещено рядом с жилыми домами. Отсюда на лицо грубое нарушение размещения производства и расположения его резервуаров для слива нечистот.  Надеемся что законы Российской Федерации будут соблюдены и производство будет перенесено в другое место в дали от жилых домов или ямы будут осушены, а все нечистоты будут вывозиться в специальные места для их дальнейшей утилизации.",16,едкий вредный здоровье запах карьер завод сырный долина чистить труба технический ванна каустиковой сода жидкость сливать грунт фильтрация откуда попадать грунтовый вода последний год больший пожар карьер туда сливаться жир который гореть пожар повредить газопровод наличие ветер мочь сгореть деревня едкий запах разноситься километр разный сторона зависимость направление ветер нечистоты зима попадать лес пара год назад пруд калиновка активист который бороться данный явление запугивать охранник завод человек правоохранительный орган грозить тюремный срок год житель деревня жаловаться мера никакой принять неоднократно данные карьера падать ребенок взрослый летальный исход едкий запах развиваться головной боль приступ астма карьер целенаправлено набирать чистый вода карьер находиться вблизи дорога весь проверка брать проба сделать специально данный момент сливать отход ночной время сутки бывать день разный время слив нарушаться жировой пленка поверхность весь затягивать едкий запах норма законодательство российский федерация данный производство должный разместить рядом жилой дом отсюда лицо грубый нарушение размещение производство расположение резервуар слив нечистоты надеяться закон российский федерация соблюсти производство перенести место дать жилой дом яма осушить весь нечистоты вывозиться специальный место дальнейший утилизация
<p>Отсутствие люка</p>,3,отсутствие люк
"<p>Добрый день.&nbsp;</p><p>На остановке `Площадь Рокоссовского` подземный переход находится в очень плохом состоянии. В него трудно спускаться и из него трудно подниматься, так как его ступени разбиты, а зимой ещё на них появляется лёд, что в несколько раз затрудняет передвижение (как спуск в данный подземный переход, так и подъём). Велика возможность упасть и получить травму, даже держась за перила, ведь, если ступени просто заледенели, то на них ещё есть возможность как-то удержаться, опираясь на перила при спуске или подъёме, а в данном случае ступени данного перехода не только покрываются льдом зимой, но и находятся в ужасном, опасном для здоровья людей, состоянии.</p><p>Прошу Вас разобраться с данной проблемой и сделать хорошие ступени в данном подземном переходе.</p><p>С уважением,</p><p>Половинкин В. С.</p>",0,остановка площадь рокоссовский подземный переход находиться плохой состояние трудный спускаться трудный подниматься ступень разбить зима появляться лед несколько затруднять передвижение спуск данный подземный переход подъем большой возможность упасть получить травма держаться перила ступень просто заледенеть возможность удержаться опираться перила спуск подъем данный случай ступень данный переход покрываться лед зима находиться ужасный опасный здоровье человек состояние просить разобраться данный проблема сделать хороший ступень данный подземный переход уважение
